Component Category,item,cost,note,LINK,quatity
,,,,,
case,top,$0.92/ ₹84.56,,https://a3dxyz.com/instant3dp/,1
,base,$1.31/₹120,,https://a3dxyz.com/instant3dp/,1
,encoder cap,$0.38/₹35,,https://a3dxyz.com/instant3dp/,1
,keycap,$1.63/₹150,,,8
electronics ,pcb ,$9.80/₹900,,https://robu.in/product/online-pcb-manufacturing-service/,5
,esp32-s3,$5.50/₹500,,https://hubtronics.in/esp32-s3-supermini-board,1
,switches,$4.89/₹449 ,,https://www.thecosmicbyte.com/product/cherry-mx-mechancial-5-pin-switches-compatible-with-hot-swappable-keyboards-pack-of-10/?attribute_pa_switch-type=mx-silent-red,10
,diode/capacitor/resistor/rgb,$1.63/₹150,,https://quartzcomponents.com/,"diode-9,resitor -,capacitor-4,rgb-4"
,battery ,$1.63/₹150,,https://quartzcomponents.com/products/3-7v-800mah-li-po-rechargeable-battery?_pos=11&_sid=4138e78e9&_ss=r,1
screw ,,,,,
,M2-10mm(allen),$0.33/₹30,case mounting,https://onlyscrews.in/products/m2-x-10mm-hex-allen-socket-head-high-tensile12-9-black-oxide-screw-dia-2mm-length-10mm,4
,m2-5mm philips,$0.22/₹20,pcb mounting,https://onlyscrews.in/products/m2-x-4mm-phillips-round-head-laptop-screw-dia-2mm-length-5mm,4
,brass insert 3mm,$0.11/₹10,pcb mounting,https://onlyscrews.in/products/m2-x-3mm-brass-threaded-inserts,4
Miscellaneous,,,,,
,wires/connector/other,$1.65,,,
,,,,,
total,,$30,,,
